id,initialContractualPrice,totalEffectivePrice,publicationDate,signingDate,cpvs,directAwardFundamentationType,contractFundamentationType,contractTypes,contractingProcedureType,executionPlace,description,endOfContractType,executionDeadline,createdAt
149251,14000,14000,Sat Nov 10 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Dec 25 2010 00:00:00 GMT+0000 (Western European Standard Time),98390000-3, Outros serviços,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Covilhã,Contrato de aluguer de ornamentação natalicia para o ano de 2010,Cumprimento integral do contrato,37 dias,Thu Feb 04 2021 11:48:12 GMT+0000 (Western European Standard Time)
126890,30345.06,,Sat Nov 10 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Jun 12 2010 00:00:00 GMT+0100 (Western European Summer Time),03142500-3, Ovos,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de bens móveis,Ajuste Direto Regime Geral,Portugal,Aquisição de ovoprodutos,,365 dias,Thu Feb 04 2021 11:11:51 GMT+0000 (Western European Standard Time)
143883,84000,,Sat Nov 10 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Aug 08 2010 00:00:00 GMT+0100 (Western European Summer Time),14212000-0, Grânulos, cascalho, pós de pedra, seixos rolados, saibro, pedra britada e triturada, misturas de pedra, seixo-escória e outros agregados,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Aveiro, Aveiro,Fornecimento Contínuo de Inertes para os anos 2010 e 2011,Cumprimento integral do contrato,365 dias,Thu Feb 04 2021 11:40:00 GMT+0000 (Western European Standard Time)
143574,53210,53210,Sat Nov 10 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Aug 15 2010 00:00:00 GMT+0100 (Western European Summer Time),71335000-5, Estudos de engenharia,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços<br/>Aquisição de bens móveis,Ajuste Direto Regime Geral,Portugal, Portalegre, Castelo de Vide,Projectos de Especialidade-Cuidados Continuados,Cumprimento integral do contrato,55 dias,Thu Feb 04 2021 11:39:24 GMT+0000 (Western European Standard Time)
143561,13421.13,,Fri Nov 09 2012 00:00:00 GMT+0000 (Western European Standard Time),Mon Aug 16 2010 00:00:00 GMT+0100 (Western European Summer Time),45232200-4, Obras anexas relacionadas com linhas para o transporte de electricidade,Não aplicável,Artigo 22.º, n.º 1, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Covilhã,Contrato de realização de infraestruturas electricas na Fonte Nova - São Cristóvão - Covilhã,,15 dias,Thu Feb 04 2021 11:39:24 GMT+0000 (Western European Standard Time)
143562,44240,44240,Fri Nov 09 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Jul 21 2010 00:00:00 GMT+0100 (Western European Summer Time),45112000-5, Escavação e movimento de terras,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Covilhã,Contrato da empreitada da obra de terraplenagem na Estrada Rural entre a EM 508 e a EN 339, Cortes do Meio,Cumprimento integral do contrato,30 dias,Thu Feb 04 2021 11:39:24 GMT+0000 (Western European Standard Time)
143558,17668.54,17668.54,Fri Nov 09 2012 00:00:00 GMT+0000 (Western European Standard Time),Mon Aug 16 2010 00:00:00 GMT+0100 (Western European Summer Time),45231300-8, Construção de condutas para água e águas residuais,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Covilhã,Contrato de colocação de tubagem em ferro fundido nas pontes da Estrada Teixoso - Atalaia,Cumprimento integral do contrato,15 dias,Thu Feb 04 2021 11:39:24 GMT+0000 (Western European Standard Time)
143961,10000,10000,Fri Nov 09 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Aug 13 2010 00:00:00 GMT+0100 (Western European Summer Time),92331100-1, Serviços de feiras de atracções,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Covilhã,Contrato de ornamentação festiva da Feira de S. Tiago para o ano de 2010,Cumprimento integral do contrato,31 dias,Thu Feb 04 2021 11:40:00 GMT+0000 (Western European Standard Time)
237057,44217.24,40175.05,Fri Nov 09 2012 00:00:00 GMT+0000 (Western European Standard Time),Mon Nov 29 2010 00:00:00 GMT+0000 (Western European Standard Time),79810000-5, Serviços de impressão,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Faro,Prestação de Serviços de cópia e impressão em regime de Outsourcing,Cumprimento integral do contrato,1095 dias,Thu Feb 04 2021 13:24:57 GMT+0000 (Western European Standard Time)
115568,119700,,Thu Nov 08 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Oct 25 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,PROJECTO DO SISTEMA DE ADUÇÃO E ARMAZENAMENTO DE ÁGUA DE MONTE GORDO,,150 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
115570,36600,,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Oct 07 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,PROJECTO DO SISTEMA INTERCEPTOR DE VILA NOVA DE CACELA / MANTA ROTA,,120 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
115571,65800,,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Oct 07 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,PROJECTO DO SISTEMA INTERCEPTOR DE POCINHO / CALIÇO / FONTE SANTA / MANTA ROTA,,120 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
115572,44500,,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Oct 27 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,LIGAÇÃO DAS REDES DE SANEAMENTO AO LONGO DA FRENTE RIBEIRINHA DA CIDADE DE VILA REAL DE SANTO ANTÓNIO AO SISTEMA INTERCEPTOR DE MANTA ROTA / ALTURA / MONTE GORDO / VILA REAL DE SANTO ANTÓNIO,,150 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
115575,31000,,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Oct 07 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,PROJECTO DAS REDES DE DRENAGEM DE ÁGUAS RESIDUAIS DA ÁREA NASCENTE DA FREGUESIA DE VILA NOVA DE CACELA,,120 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
115574,54800,,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Oct 27 2012 00:00:00 GMT+0100 (Western European Summer Time),71242000-6, Preparação de projecto e concepção, estimativa de custos,ausência de recursos próprios,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Vila Real Sto Antonio,LIGAÇÃO DAS REDES DE SANEAMENTO DA ZONA CENTRAL DA CIDADE DE VILA REAL DE SANTO ANTÓNIO AO SISTEMA INTERCEPTOR DE MANTA ROTA / ALTURA / MONTE GORDO / VILA REAL DE SANTO ANTÓNIO,,150 dias,Thu Feb 04 2021 10:51:28 GMT+0000 (Western European Standard Time)
227517,2296.8,2296.8,Sun Nov 04 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Jan 19 2012 00:00:00 GMT+0000 (Western European Standard Time),45233120-6, Construção de estradas,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Região Autónoma dos Açores, Horta,Horta - Reabilitação de Rede Viária e Rede de Águas,Cumprimento integral do contrato,720 dias,Thu Feb 04 2021 13:16:08 GMT+0000 (Western European Standard Time)
223866,269062.03,269062.03,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Jan 23 2011 00:00:00 GMT+0000 (Western European Standard Time),45112711-2, Trabalhos de paisagismo em parques,Não aplicável,Artigo 155.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Castelo Branco, Covilhã,Empreitada de requalificação do Parque Florestal,Cumprimento integral do contrato,365 dias,Thu Feb 04 2021 13:13:40 GMT+0000 (Western European Standard Time)
205929,1549.963,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Jan 21 2011 00:00:00 GMT+0000 (Western European Standard Time),45234240-0, Sistema de carris para funicular,Não aplicável,Artigo 155.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Castelo Branco, Covilhã,Empreitada de construção do funicular de S. João - Covilhã,,540 dias,Thu Feb 04 2021 12:58:41 GMT+0000 (Western European Standard Time)
123803,239987.44,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Apr 17 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Mafra,empreitada de obras publicas,,70 dias,Thu Feb 04 2021 11:06:20 GMT+0000 (Western European Standard Time)
105162,355343.56,355343.56,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 14 2009 00:00:00 GMT+0100 (Western European Summer Time),45212200-8, Construção de instalações desportivas,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Castelo Branco, Covilhã,Empreitada de construção do Parque Desportivo da Coutada,Cumprimento integral do contrato,110 dias,Thu Feb 04 2021 10:34:06 GMT+0000 (Western European Standard Time)
123394,54934.8,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Jul 08 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,120 dias,Thu Feb 04 2021 11:05:46 GMT+0000 (Western European Standard Time)
120565,14982.91,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Feb 26 2010 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,15 dias,Thu Feb 04 2021 10:59:50 GMT+0000 (Western European Standard Time)
